Date,Description,Category,Amount,Balance,Type
2024-02-13,Interest Credit,Savings Interest,12621,-4270951,Credit
2024-04-21,UPI to Friend,Transfer,-2670,-4273621,Debit
2024-12-25,Salary Credit,Income,7970,-4265651,Credit
2025-01-03,ATM Withdrawal,Cash,-2266,-4267917,Debit
2024-08-15,Myntra Shopping,Shopping,-9583,-4277500,Debit
2024-04-03,Medical Store,Health,-2454,-4279954,Debit
2024-12-05,Uber Ride,Transport,-4618,-4284572,Debit
2024-01-02,UPI to Friend,Transfer,-6993,-4291565,Debit
2024-09-19,Bank Transfer,Transfer,-1854,-4293419,Debit
2024-11-18,FD Interest,Savings Interest,28655,-4264764,Credit
2024-11-20,Internet Recharge,Utilities,-5650,-4270414,Debit
2025-02-16,Doctor Visit,Health,-3629,-4274043,Debit
2025-02-07,Electronics,Shopping,-9327,-4283370,Debit
2025-03-16,FD Interest,Savings Interest,25018,-4258352,Credit
2024-03-31,Received from Rahul,Transfer,-8163,-4266515,Debit
2025-04-07,Myntra Shopping,Shopping,-912,-4267427,Debit
2025-03-25,Electronics,Shopping,-4525,-4271952,Debit
2024-12-22,Petrol,Transport,-7245,-4279197,Debit
2024-08-18,Electricity Bill,Utilities,-2501,-4281698,Debit
2024-12-24,Freelance Payment,Income,7410,-4274288,Credit
2025-01-02,Bank Transfer,Transfer,-4904,-4279192,Debit
2024-03-01,ATM Withdrawal,Cash,-2075,-4281267,Debit
2024-01-06,Interest Credit,Savings Interest,9621,-4271646,Credit
2024-11-07,Cash Deposit,Cash,-6035,-4277681,Debit
2024-02-15,Spotify,Entertainment,-7496,-4285177,Debit
2024-08-21,Cafe Coffee Day,Food,-8491,-4293668,Debit
2024-05-29,Freelance Payment,Income,18298,-4275370,Credit
2024-03-19,Received from Rahul,Transfer,-7241,-4282611,Debit
2024-02-14,Spotify,Entertainment,-1904,-4284515,Debit
2024-02-12,Cash Deposit,Cash,-8294,-4292809,Debit
2024-11-04,UPI to Friend,Transfer,-8864,-4301673,Debit
2025-02-03,Restaurant Bill,Food,-4144,-4305817,Debit
2024-09-25,Interest Credit,Savings Interest,7417,-4298400,Credit
2024-03-26,YouTube Premium,Entertainment,-7045,-4305445,Debit
2024-03-04,ATM Withdrawal,Cash,-9388,-4314833,Debit
2024-05-22,Cash Deposit,Cash,-1156,-4315989,Debit
2024-12-22,Swiggy,Food,-2507,-4318496,Debit
2024-03-14,Spotify,Entertainment,-9407,-4327903,Debit
2024-11-09,Cash Deposit,Cash,-713,-4328616,Debit
2024-08-05,Doctor Visit,Health,-1393,-4330009,Debit
2024-06-26,Electricity Bill,Utilities,-6506,-4336515,Debit
2024-04-12,Electricity Bill,Utilities,-6696,-4343211,Debit
2024-09-17,Zomato Order,Food,-8367,-4351578,Debit
2024-11-01,Petrol,Transport,-7888,-4359466,Debit
2024-05-27,Doctor Visit,Health,-7054,-4366520,Debit
2025-04-14,Train Ticket,Transport,-154,-4366674,Debit
2025-02-12,Swiggy,Food,-9187,-4375861,Debit
2025-01-15,FD Interest,Savings Interest,23545,-4352316,Credit
2024-09-21,Doctor Visit,Health,-2794,-4355110,Debit
2025-05-12,Amazon Purchase,Shopping,-4958,-4360068,Debit
2024-02-29,ATM Withdrawal,Cash,-9509,-4369577,Debit
2024-05-16,Cafe Coffee Day,Food,-7512,-4377089,Debit
2025-05-01,Doctor Visit,Health,-4173,-4381262,Debit
2025-01-25,Freelance Payment,Income,12614,-4368648,Credit
2024-04-18,Electricity Bill,Utilities,-7323,-4375971,Debit
2024-02-22,Water Bill,Utilities,-1370,-4377341,Debit
2024-07-16,Received from Rahul,Transfer,-9511,-4386852,Debit
2025-03-15,Myntra Shopping,Shopping,-9804,-4396656,Debit
2024-04-13,Medical Store,Health,-9067,-4405723,Debit
2024-10-05,Electricity Bill,Utilities,-9966,-4415689,Debit
2024-11-15,YouTube Premium,Entertainment,-1008,-4416697,Debit
2024-03-17,ATM Withdrawal,Cash,-3971,-4420668,Debit
2024-10-07,Amazon Purchase,Shopping,-9069,-4429737,Debit
2024-01-02,Interest Credit,Savings Interest,18248,-4411489,Credit
2024-07-22,Swiggy,Food,-9589,-4421078,Debit
2024-10-10,Received from Rahul,Transfer,-2306,-4423384,Debit
2025-03-03,Flipkart Order,Shopping,-7813,-4431197,Debit
2024-12-19,Medical Store,Health,-6360,-4437557,Debit
2024-10-14,Train Ticket,Transport,-2610,-4440167,Debit
2024-11-10,Zomato Order,Food,-9779,-4449946,Debit
2025-03-28,YouTube Premium,Entertainment,-2402,-4452348,Debit
2024-10-29,Movie Tickets,Entertainment,-4497,-4456845,Debit
2025-04-02,Swiggy,Food,-9618,-4466463,Debit
2024-03-19,Doctor Visit,Health,-5356,-4471819,Debit
2024-07-05,Electricity Bill,Utilities,-7323,-4479142,Debit
2024-05-29,Petrol,Transport,-1931,-4481073,Debit
2024-08-03,Salary Credit,Income,26200,-4454873,Credit
2024-03-22,Train Ticket,Transport,-8568,-4463441,Debit
2024-11-21,Medical Store,Health,-7949,-4471390,Debit
2024-02-05,Zomato Order,Food,-8321,-4479711,Debit
2025-05-13,Medical Store,Health,-189,-4479900,Debit
2025-04-08,Water Bill,Utilities,-4962,-4484862,Debit
2025-01-02,Received from Rahul,Transfer,-5984,-4490846,Debit
2025-03-09,FD Interest,Savings Interest,9329,-4481517,Credit
2024-07-18,Petrol,Transport,-1319,-4482836,Debit
2024-08-05,Water Bill,Utilities,-9383,-4492219,Debit
2024-12-18,Flipkart Order,Shopping,-632,-4492851,Debit
2025-05-14,Doctor Visit,Health,-866,-4493717,Debit
2024-09-20,ATM Withdrawal,Cash,-4085,-4497802,Debit
2025-01-15,Spotify,Entertainment,-7651,-4505453,Debit
2024-02-15,UPI to Friend,Transfer,-6052,-4511505,Debit
2024-04-10,Petrol,Transport,-4039,-4515544,Debit
2025-02-28,UPI to Friend,Transfer,-6080,-4521624,Debit
2024-10-08,Amazon Purchase,Shopping,-847,-4522471,Debit
2024-03-14,ATM Withdrawal,Cash,-1510,-4523981,Debit
2025-03-24,Refund,Income,4489,-4519492,Credit
2024-11-14,Bonus,Income,7607,-4511885,Credit
2024-11-04,Train Ticket,Transport,-4441,-4516326,Debit
2024-11-04,Myntra Shopping,Shopping,-6645,-4522971,Debit
2025-03-26,Myntra Shopping,Shopping,-7368,-4530339,Debit
2024-12-28,Flipkart Order,Shopping,-6891,-4537230,Debit
2025-01-12,Doctor Visit,Health,-8830,-4546060,Debit
2024-08-05,Doctor Visit,Health,-8528,-4554588,Debit
2024-12-11,Internet Recharge,Utilities,-7654,-4562242,Debit
2024-08-14,UPI to Friend,Transfer,-2886,-4565128,Debit
2024-09-07,Restaurant Bill,Food,-6696,-4571824,Debit
2024-11-25,Cafe Coffee Day,Food,-919,-4572743,Debit
2025-01-27,ATM Withdrawal,Cash,-8849,-4581592,Debit
2025-04-08,Medical Store,Health,-262,-4581854,Debit
2024-10-26,Uber Ride,Transport,-1887,-4583741,Debit
2024-12-23,UPI to Friend,Transfer,-6835,-4590576,Debit
2025-04-17,Train Ticket,Transport,-4902,-4595478,Debit
2024-12-04,Train Ticket,Transport,-5946,-4601424,Debit
2024-12-01,Restaurant Bill,Food,-8040,-4609464,Debit
2025-04-04,Electricity Bill,Utilities,-3840,-4613304,Debit
2024-09-07,Doctor Visit,Health,-4838,-4618142,Debit
2025-03-24,Cash Deposit,Cash,-1805,-4619947,Debit
2025-03-09,Cafe Coffee Day,Food,-576,-4620523,Debit
2024-03-21,UPI to Friend,Transfer,-997,-4621520,Debit
2024-10-10,Electricity Bill,Utilities,-234,-4621754,Debit
2025-04-22,Internet Recharge,Utilities,-1287,-4623041,Debit
2024-12-29,Cash Deposit,Cash,-8020,-4631061,Debit
2025-04-22,Doctor Visit,Health,-3142,-4634203,Debit
2024-11-12,Received from Rahul,Transfer,-220,-4634423,Debit
2024-09-19,ATM Withdrawal,Cash,-9336,-4643759,Debit
2024-02-07,Medical Store,Health,-8825,-4652584,Debit
2024-07-06,Cash Deposit,Cash,-971,-4653555,Debit
2024-02-27,Uber Ride,Transport,-442,-4653997,Debit
2025-03-28,Internet Recharge,Utilities,-4889,-4658886,Debit
2024-05-10,Interest Credit,Savings Interest,8354,-4650532,Credit
2025-04-14,Spotify,Entertainment,-9272,-4659804,Debit
2025-05-14,Water Bill,Utilities,-2360,-4662164,Debit
2024-10-24,Doctor Visit,Health,-6841,-4669005,Debit
2024-03-26,Flipkart Order,Shopping,-6510,-4675515,Debit
2024-02-04,Train Ticket,Transport,-2094,-4677609,Debit
2024-06-06,Interest Credit,Savings Interest,25894,-4651715,Credit
2024-02-04,Uber Ride,Transport,-4061,-4655776,Debit
2024-11-07,Electronics,Shopping,-290,-4656066,Debit
2024-06-26,Salary Credit,Income,17552,-4638514,Credit
2024-06-26,Interest Credit,Savings Interest,1721,-4636793,Credit
2025-02-17,Movie Tickets,Entertainment,-5826,-4642619,Debit
2024-06-23,FD Interest,Savings Interest,1272,-4641347,Credit
2025-03-02,Amazon Purchase,Shopping,-4587,-4645934,Debit
2025-04-03,ATM Withdrawal,Cash,-2354,-4648288,Debit
2025-01-03,Interest Credit,Savings Interest,25697,-4622591,Credit
2025-01-19,Restaurant Bill,Food,-5566,-4628157,Debit
2025-05-07,Medical Store,Health,-6047,-4634204,Debit
2024-08-11,Spotify,Entertainment,-7656,-4641860,Debit
2024-07-21,Swiggy,Food,-6745,-4648605,Debit
2024-03-20,Medical Store,Health,-5925,-4654530,Debit
2024-02-20,Interest Credit,Savings Interest,26806,-4627724,Credit
2024-02-17,Electronics,Shopping,-7908,-4635632,Debit
2025-04-15,Bank Transfer,Transfer,-103,-4635735,Debit
2025-03-20,Petrol,Transport,-7024,-4642759,Debit
2024-11-21,FD Interest,Savings Interest,24738,-4618021,Credit
2025-04-03,Medical Store,Health,-7612,-4625633,Debit
2024-02-29,FD Interest,Savings Interest,29696,-4595937,Credit
2024-02-02,Received from Rahul,Transfer,-4613,-4600550,Debit
2024-05-27,Swiggy,Food,-9458,-4610008,Debit
2024-12-04,Refund,Income,17676,-4592332,Credit
2025-05-07,Received from Rahul,Transfer,-4999,-4597331,Debit
2025-02-08,FD Interest,Savings Interest,8758,-4588573,Credit
2024-10-31,Medical Store,Health,-9532,-4598105,Debit
2024-03-05,Medical Store,Health,-8065,-4606170,Debit
2024-02-26,Salary Credit,Income,8093,-4598077,Credit
2024-08-29,Received from Rahul,Transfer,-1191,-4599268,Debit
2024-04-15,Bonus,Income,11233,-4588035,Credit
2024-05-21,UPI to Friend,Transfer,-4386,-4592421,Debit
2025-02-21,Interest Credit,Savings Interest,16891,-4575530,Credit
2024-11-25,Swiggy,Food,-6369,-4581899,Debit
2024-01-05,Electricity Bill,Utilities,-8444,-4590343,Debit
2024-05-22,Petrol,Transport,-4319,-4594662,Debit
2024-02-11,Doctor Visit,Health,-6255,-4600917,Debit
2024-07-26,Cash Deposit,Cash,-6362,-4607279,Debit
2024-04-23,Interest Credit,Savings Interest,18535,-4588744,Credit
2024-11-19,FD Interest,Savings Interest,11768,-4576976,Credit
2025-04-13,Medical Store,Health,-2945,-4579921,Debit
2025-01-08,UPI to Friend,Transfer,-6199,-4586120,Debit
2024-04-24,Internet Recharge,Utilities,-4459,-4590579,Debit
2024-08-31,Salary Credit,Income,18182,-4572397,Credit
2024-07-08,Train Ticket,Transport,-3910,-4576307,Debit
2025-03-08,Medical Store,Health,-7329,-4583636,Debit
2025-03-24,Restaurant Bill,Food,-2298,-4585934,Debit
2025-03-14,Bank Transfer,Transfer,-8019,-4593953,Debit
2025-03-10,Spotify,Entertainment,-952,-4594905,Debit
2024-07-13,Medical Store,Health,-7743,-4602648,Debit
2024-09-19,Movie Tickets,Entertainment,-1391,-4604039,Debit
2025-04-07,Zomato Order,Food,-1548,-4605587,Debit
2024-12-10,Train Ticket,Transport,-1723,-4607310,Debit
2024-01-31,FD Interest,Savings Interest,16015,-4591295,Credit
2025-02-01,Amazon Purchase,Shopping,-3399,-4594694,Debit
2024-01-17,Doctor Visit,Health,-5851,-4600545,Debit
2024-06-28,Petrol,Transport,-3150,-4603695,Debit
2025-03-23,Salary Credit,Income,29232,-4574463,Credit
2024-02-08,Cafe Coffee Day,Food,-9947,-4584410,Debit
2024-04-18,Bank Transfer,Transfer,-1807,-4586217,Debit
2024-11-18,Petrol,Transport,-5119,-4591336,Debit
2025-02-07,Uber Ride,Transport,-3432,-4594768,Debit
2024-11-27,Spotify,Entertainment,-9782,-4604550,Debit
2024-10-14,Train Ticket,Transport,-5638,-4610188,Debit
2024-05-04,Electronics,Shopping,-2168,-4612356,Debit
2024-05-06,Freelance Payment,Income,16733,-4595623,Credit
2024-05-11,ATM Withdrawal,Cash,-6528,-4602151,Debit
2024-04-23,Electricity Bill,Utilities,-5953,-4608104,Debit
2024-08-07,Movie Tickets,Entertainment,-7299,-4615403,Debit
2024-01-02,FD Interest,Savings Interest,12046,-4603357,Credit
2024-01-13,Restaurant Bill,Food,-8959,-4612316,Debit
2024-01-06,YouTube Premium,Entertainment,-258,-4612574,Debit
2024-06-30,Cafe Coffee Day,Food,-2208,-4614782,Debit
2024-07-24,YouTube Premium,Entertainment,-9725,-4624507,Debit
2024-03-13,Medical Store,Health,-3265,-4627772,Debit
2024-03-01,Bonus,Income,17100,-4610672,Credit
2025-02-05,Movie Tickets,Entertainment,-3761,-4614433,Debit
2025-03-12,Cash Deposit,Cash,-4645,-4619078,Debit
2024-04-03,Water Bill,Utilities,-6423,-4625501,Debit
2024-01-13,Water Bill,Utilities,-2891,-4628392,Debit
2024-03-04,Electricity Bill,Utilities,-2931,-4631323,Debit
2024-04-12,Petrol,Transport,-2128,-4633451,Debit
2025-02-08,Water Bill,Utilities,-8005,-4641456,Debit
2024-01-31,Electricity Bill,Utilities,-341,-4641797,Debit
2024-06-12,Cafe Coffee Day,Food,-4962,-4646759,Debit
2025-05-10,Amazon Purchase,Shopping,-6837,-4653596,Debit
2024-11-18,Bonus,Income,24444,-4629152,Credit
2024-09-21,Freelance Payment,Income,17335,-4611817,Credit
2024-01-15,ATM Withdrawal,Cash,-190,-4612007,Debit
2025-05-06,Flipkart Order,Shopping,-4304,-4616311,Debit
2024-08-03,Salary Credit,Income,26632,-4589679,Credit
2024-03-03,Spotify,Entertainment,-6544,-4596223,Debit
2025-03-25,UPI to Friend,Transfer,-7302,-4603525,Debit
2024-12-26,Amazon Purchase,Shopping,-3919,-4607444,Debit
2024-02-15,Spotify,Entertainment,-5955,-4613399,Debit
2024-09-18,Electricity Bill,Utilities,-1096,-4614495,Debit
2024-02-02,Interest Credit,Savings Interest,8953,-4605542,Credit
2024-07-19,Cash Deposit,Cash,-3512,-4609054,Debit
2025-01-31,FD Interest,Savings Interest,7353,-4601701,Credit
2025-03-01,Water Bill,Utilities,-8501,-4610202,Debit
2024-10-16,Swiggy,Food,-2523,-4612725,Debit
2025-02-08,Spotify,Entertainment,-7195,-4619920,Debit
2025-01-27,Bank Transfer,Transfer,-8055,-4627975,Debit
2024-06-05,Salary Credit,Income,2277,-4625698,Credit
2024-01-26,Zomato Order,Food,-6103,-4631801,Debit
2024-09-03,Water Bill,Utilities,-7210,-4639011,Debit
2024-07-12,Refund,Income,15582,-4623429,Credit
2025-02-13,FD Interest,Savings Interest,2240,-4621189,Credit
2024-09-03,Cash Deposit,Cash,-8338,-4629527,Debit
2024-06-25,Restaurant Bill,Food,-7457,-4636984,Debit
2024-06-16,Movie Tickets,Entertainment,-4570,-4641554,Debit
2025-02-16,FD Interest,Savings Interest,13097,-4628457,Credit
2024-07-27,Freelance Payment,Income,14210,-4614247,Credit
2024-01-17,Internet Recharge,Utilities,-8072,-4622319,Debit
2025-02-13,Medical Store,Health,-8666,-4630985,Debit
2024-04-19,Petrol,Transport,-3229,-4634214,Debit
2024-12-31,Electricity Bill,Utilities,-5809,-4640023,Debit
2024-02-09,Refund,Income,4031,-4635992,Credit
2024-08-18,FD Interest,Savings Interest,18557,-4617435,Credit
2024-08-02,Myntra Shopping,Shopping,-2782,-4620217,Debit
2025-01-15,Bank Transfer,Transfer,-3577,-4623794,Debit
2024-10-21,Uber Ride,Transport,-7561,-4631355,Debit
2024-02-16,Doctor Visit,Health,-4530,-4635885,Debit
2024-01-28,UPI to Friend,Transfer,-2198,-4638083,Debit
2024-09-07,Interest Credit,Savings Interest,19287,-4618796,Credit
2024-06-11,Interest Credit,Savings Interest,20578,-4598218,Credit
2024-02-07,UPI to Friend,Transfer,-6981,-4605199,Debit
2025-05-07,Uber Ride,Transport,-4310,-4609509,Debit
2024-02-27,Flipkart Order,Shopping,-3765,-4613274,Debit
2024-07-06,Salary Credit,Income,16465,-4596809,Credit
2024-09-02,FD Interest,Savings Interest,28753,-4568056,Credit
2024-04-03,Bank Transfer,Transfer,-6744,-4574800,Debit
2025-03-07,ATM Withdrawal,Cash,-5156,-4579956,Debit
2024-02-08,Cash Deposit,Cash,-6664,-4586620,Debit
2024-01-23,Interest Credit,Savings Interest,28425,-4558195,Credit
2025-01-10,Doctor Visit,Health,-2423,-4560618,Debit
2025-02-24,Flipkart Order,Shopping,-4122,-4564740,Debit
2024-01-06,Movie Tickets,Entertainment,-7686,-4572426,Debit
2024-01-16,FD Interest,Savings Interest,22363,-4550063,Credit
2024-05-11,Myntra Shopping,Shopping,-9021,-4559084,Debit
2025-03-07,Train Ticket,Transport,-4223,-4563307,Debit
2024-03-19,FD Interest,Savings Interest,26358,-4536949,Credit
2024-10-06,Medical Store,Health,-5584,-4542533,Debit
2024-03-28,Train Ticket,Transport,-6493,-4549026,Debit
2024-06-27,Movie Tickets,Entertainment,-3917,-4552943,Debit
2024-01-03,Bonus,Income,3658,-4549285,Credit
2024-06-02,Spotify,Entertainment,-6525,-4555810,Debit
2025-01-29,Amazon Purchase,Shopping,-5789,-4561599,Debit
2025-01-24,Refund,Income,9440,-4552159,Credit
2024-10-10,Restaurant Bill,Food,-2337,-4554496,Debit
2025-03-21,ATM Withdrawal,Cash,-7901,-4562397,Debit
2025-02-09,YouTube Premium,Entertainment,-2536,-4564933,Debit
2025-03-23,Internet Recharge,Utilities,-4572,-4569505,Debit
2024-11-14,Interest Credit,Savings Interest,17763,-4551742,Credit
2025-04-20,Petrol,Transport,-3640,-4555382,Debit
2025-05-12,Freelance Payment,Income,12941,-4542441,Credit
2025-04-18,ATM Withdrawal,Cash,-8169,-4550610,Debit
2024-07-21,Electronics,Shopping,-6073,-4556683,Debit
2024-03-28,Cash Deposit,Cash,-6293,-4562976,Debit
2024-07-12,Swiggy,Food,-3273,-4566249,Debit
2024-03-14,Internet Recharge,Utilities,-9465,-4575714,Debit
2024-12-02,FD Interest,Savings Interest,7200,-4568514,Credit
2025-04-15,FD Interest,Savings Interest,8612,-4559902,Credit
2025-04-23,FD Interest,Savings Interest,6543,-4553359,Credit
2024-11-02,Salary Credit,Income,16956,-4536403,Credit
2024-01-09,Amazon Purchase,Shopping,-5199,-4541602,Debit
2024-09-23,FD Interest,Savings Interest,11339,-4530263,Credit
2024-03-19,Cash Deposit,Cash,-7011,-4537274,Debit
2025-03-02,Received from Rahul,Transfer,-2503,-4539777,Debit
2024-05-12,Interest Credit,Savings Interest,1743,-4538034,Credit
2024-04-25,Electricity Bill,Utilities,-9249,-4547283,Debit
2024-07-08,Refund,Income,10768,-4536515,Credit
2024-11-06,Bonus,Income,18640,-4517875,Credit
2024-09-20,Water Bill,Utilities,-2190,-4520065,Debit
2025-02-06,Cash Deposit,Cash,-7109,-4527174,Debit
2024-12-26,Swiggy,Food,-9535,-4536709,Debit
2025-05-03,Interest Credit,Savings Interest,23579,-4513130,Credit
2024-04-15,FD Interest,Savings Interest,17338,-4495792,Credit
2024-07-08,Bank Transfer,Transfer,-9388,-4505180,Debit
2024-10-16,Interest Credit,Savings Interest,7942,-4497238,Credit
2024-08-07,Swiggy,Food,-7147,-4504385,Debit
2024-08-17,Spotify,Entertainment,-8475,-4512860,Debit
2024-10-30,Electronics,Shopping,-2746,-4515606,Debit
2024-04-13,Bank Transfer,Transfer,-2650,-4518256,Debit
2024-04-06,Flipkart Order,Shopping,-4811,-4523067,Debit
2024-08-19,Spotify,Entertainment,-4851,-4527918,Debit
2025-03-25,Restaurant Bill,Food,-4715,-4532633,Debit
2025-02-05,Freelance Payment,Income,6484,-4526149,Credit
2024-12-21,Flipkart Order,Shopping,-8431,-4534580,Debit
2024-05-23,Water Bill,Utilities,-8285,-4542865,Debit
2024-03-04,Medical Store,Health,-5014,-4547879,Debit
2025-02-23,Swiggy,Food,-9505,-4557384,Debit
2024-01-02,Doctor Visit,Health,-9344,-4566728,Debit
2024-04-23,Restaurant Bill,Food,-5657,-4572385,Debit
2025-05-04,Electronics,Shopping,-2599,-4574984,Debit
2024-07-11,Interest Credit,Savings Interest,23851,-4551133,Credit
2024-04-05,Cash Deposit,Cash,-565,-4551698,Debit
2024-05-11,Restaurant Bill,Food,-2196,-4553894,Debit
2024-12-02,Bonus,Income,27201,-4526693,Credit
2025-04-05,Cash Deposit,Cash,-3349,-4530042,Debit
2024-02-26,Uber Ride,Transport,-998,-4531040,Debit
2024-04-30,Petrol,Transport,-2198,-4533238,Debit
2024-07-02,Petrol,Transport,-4234,-4537472,Debit
2024-11-13,Petrol,Transport,-5204,-4542676,Debit
2024-04-07,Doctor Visit,Health,-9781,-4552457,Debit
2024-02-17,Bank Transfer,Transfer,-7119,-4559576,Debit
2025-04-21,Flipkart Order,Shopping,-5321,-4564897,Debit
2024-12-18,UPI to Friend,Transfer,-852,-4565749,Debit
2024-03-07,Electronics,Shopping,-3194,-4568943,Debit
2024-04-14,Uber Ride,Transport,-3907,-4572850,Debit
2024-03-12,Salary Credit,Income,29371,-4543479,Credit
2025-02-08,Medical Store,Health,-1491,-4544970,Debit
2024-08-29,Medical Store,Health,-7643,-4552613,Debit
2025-02-22,Freelance Payment,Income,24357,-4528256,Credit
2024-07-26,Medical Store,Health,-6769,-4535025,Debit
2024-03-17,Doctor Visit,Health,-1702,-4536727,Debit
2024-08-25,Amazon Purchase,Shopping,-9808,-4546535,Debit
2024-04-26,Movie Tickets,Entertainment,-1801,-4548336,Debit
2024-12-07,Uber Ride,Transport,-5376,-4553712,Debit
2025-03-01,Spotify,Entertainment,-5435,-4559147,Debit
2024-09-22,Movie Tickets,Entertainment,-2685,-4561832,Debit
2024-06-10,Myntra Shopping,Shopping,-9671,-4571503,Debit
2024-01-31,Salary Credit,Income,12804,-4558699,Credit
2024-07-12,FD Interest,Savings Interest,25280,-4533419,Credit
2025-01-22,FD Interest,Savings Interest,18618,-4514801,Credit
2024-12-23,UPI to Friend,Transfer,-5071,-4519872,Debit
2024-06-04,Myntra Shopping,Shopping,-5364,-4525236,Debit
2024-11-14,Spotify,Entertainment,-8022,-4533258,Debit
2024-01-13,Received from Rahul,Transfer,-5558,-4538816,Debit
2024-12-01,Electricity Bill,Utilities,-6154,-4544970,Debit
2024-11-12,Electricity Bill,Utilities,-3099,-4548069,Debit
2024-04-23,Restaurant Bill,Food,-8789,-4556858,Debit
2024-08-04,Doctor Visit,Health,-2120,-4558978,Debit
2025-03-31,ATM Withdrawal,Cash,-3994,-4562972,Debit
2024-07-21,Water Bill,Utilities,-4967,-4567939,Debit
2024-01-03,Internet Recharge,Utilities,-8830,-4576769,Debit
2024-04-26,Zomato Order,Food,-4373,-4581142,Debit
2024-04-03,ATM Withdrawal,Cash,-2109,-4583251,Debit
2024-07-08,Cafe Coffee Day,Food,-2552,-4585803,Debit
2024-09-01,Spotify,Entertainment,-3876,-4589679,Debit
2024-07-17,Amazon Purchase,Shopping,-8464,-4598143,Debit
2024-05-09,Medical Store,Health,-2474,-4600617,Debit
2024-09-09,Refund,Income,28832,-4571785,Credit
2024-10-01,Movie Tickets,Entertainment,-9882,-4581667,Debit
2024-01-09,Movie Tickets,Entertainment,-3043,-4584710,Debit
2024-06-04,Flipkart Order,Shopping,-9389,-4594099,Debit
2024-08-04,Spotify,Entertainment,-2746,-4596845,Debit
2024-05-18,Cafe Coffee Day,Food,-5298,-4602143,Debit
2024-02-29,Water Bill,Utilities,-6218,-4608361,Debit
2024-05-08,Train Ticket,Transport,-3820,-4612181,Debit
2024-11-09,Petrol,Transport,-1453,-4613634,Debit
2025-02-03,Interest Credit,Savings Interest,2799,-4610835,Credit
2025-02-06,UPI to Friend,Transfer,-4419,-4615254,Debit
2025-04-19,FD Interest,Savings Interest,4133,-4611121,Credit
2025-01-29,Movie Tickets,Entertainment,-8954,-4620075,Debit
2025-01-10,YouTube Premium,Entertainment,-9404,-4629479,Debit
2024-07-23,Bank Transfer,Transfer,-7488,-4636967,Debit
2024-12-23,Uber Ride,Transport,-6422,-4643389,Debit
2024-05-07,Doctor Visit,Health,-6504,-4649893,Debit
2024-06-16,Cash Deposit,Cash,-2953,-4652846,Debit
2024-09-07,Freelance Payment,Income,27155,-4625691,Credit
2024-03-28,ATM Withdrawal,Cash,-6736,-4632427,Debit
2024-07-28,Doctor Visit,Health,-5214,-4637641,Debit
2025-03-08,Bank Transfer,Transfer,-3599,-4641240,Debit
2024-05-07,Restaurant Bill,Food,-7430,-4648670,Debit
2024-07-02,Cash Deposit,Cash,-7782,-4656452,Debit
2024-12-08,FD Interest,Savings Interest,17944,-4638508,Credit
2024-10-27,Electronics,Shopping,-2393,-4640901,Debit
2025-02-19,Petrol,Transport,-932,-4641833,Debit
2024-08-09,Amazon Purchase,Shopping,-8222,-4650055,Debit
2024-05-09,Train Ticket,Transport,-8394,-4658449,Debit
2024-08-21,Uber Ride,Transport,-3844,-4662293,Debit
2024-03-19,Swiggy,Food,-514,-4662807,Debit
2024-04-14,Internet Recharge,Utilities,-7899,-4670706,Debit
2024-12-15,ATM Withdrawal,Cash,-7573,-4678279,Debit
2024-04-26,Spotify,Entertainment,-5790,-4684069,Debit
2024-02-23,Bonus,Income,22802,-4661267,Credit
2025-02-10,UPI to Friend,Transfer,-1063,-4662330,Debit
2025-04-13,Salary Credit,Income,6680,-4655650,Credit
2025-04-14,FD Interest,Savings Interest,25409,-4630241,Credit
2025-01-24,Medical Store,Health,-4888,-4635129,Debit
2025-01-18,Zomato Order,Food,-5112,-4640241,Debit
2024-04-21,Uber Ride,Transport,-718,-4640959,Debit
2025-03-16,Flipkart Order,Shopping,-1059,-4642018,Debit
2024-12-04,Electricity Bill,Utilities,-2349,-4644367,Debit
2024-08-01,Salary Credit,Income,12220,-4632147,Credit
2024-12-02,Uber Ride,Transport,-1767,-4633914,Debit
2024-06-15,ATM Withdrawal,Cash,-1565,-4635479,Debit
2024-04-26,Bank Transfer,Transfer,-8348,-4643827,Debit
2024-09-07,UPI to Friend,Transfer,-2383,-4646210,Debit
2024-09-03,Uber Ride,Transport,-2584,-4648794,Debit
2024-06-09,YouTube Premium,Entertainment,-1657,-4650451,Debit
2024-05-02,Electronics,Shopping,-7200,-4657651,Debit
2024-09-26,YouTube Premium,Entertainment,-660,-4658311,Debit
2024-08-11,Internet Recharge,Utilities,-5665,-4663976,Debit
2024-02-22,Water Bill,Utilities,-399,-4664375,Debit
2024-03-15,Swiggy,Food,-6736,-4671111,Debit
2025-01-08,Train Ticket,Transport,-2065,-4673176,Debit
2024-01-12,ATM Withdrawal,Cash,-1381,-4674557,Debit
2024-03-08,Cafe Coffee Day,Food,-2119,-4676676,Debit
2024-03-29,Cash Deposit,Cash,-5730,-4682406,Debit
2024-10-09,Amazon Purchase,Shopping,-9637,-4692043,Debit
2024-12-25,Interest Credit,Savings Interest,3179,-4688864,Credit
2024-07-13,Water Bill,Utilities,-4715,-4693579,Debit
2025-04-25,Received from Rahul,Transfer,-9277,-4702856,Debit
2024-07-03,Medical Store,Health,-5469,-4708325,Debit
2024-09-29,Spotify,Entertainment,-7525,-4715850,Debit
